Key,Translation,Version,Comment (context for translators)
objects.furniture.sculpturelimestone_simple,Simple sculpture (Limestone),,
objects.furniture.sculpturelimestone_plain,Plain sculpture (Limestone),,
objects.furniture.sculpturelimestone_intricate,Intricate sculpture (Limestone),,
objects.furniture.sculpturelimestone_masterwork,Masterwork sculpture (Limestone),,
objects.furniture.sculpturehardwood_simple,Simple sculpture (Hardwood),,
objects.furniture.sculpturehardwood_plain,Plain sculpture (Hardwood),,
objects.furniture.sculpturehardwood_intricate,Intricate sculpture (Hardwood),,
objects.furniture.sculpturehardwood_masterwork,Masterwork sculpture (Hardwood),,
objects.furniture.sculpturelimestone_simple.desc,"A sculpture with a simple design, made of limestone, on a steel base.",,
objects.furniture.sculpturelimestone_plain.desc,"A sculpture with a plain design, made of limestone, on a steel base.",,
objects.furniture.sculpturelimestone_intricate.desc,"A sculpture with an intricate design, made of limestone, on a steel base.",,
objects.furniture.sculpturelimestone_masterwork.desc,"A sculpture with a masterful design, made of limestone, on a steel base.",,
objects.furniture.sculpturehardwood_simple.desc,"A sculpture with a simple design, made of hardwood, on a steel base.",,
objects.furniture.sculpturehardwood_plain.desc,"A sculpture with a plain design, made of hardwood, on a steel base.",,
objects.furniture.sculpturehardwood_intricate.desc,"A sculpture with an intricate design, made of hardwood, on a steel base.",,
objects.furniture.sculpturehardwood_masterwork.desc,"A sculpture with a masterful design, made of hardwood, on a steel base.",,
obj.materials.sculpturelimestone,Sculpture (Limestone),,
obj.materials.sculpturehardwood,Sculpture (Hardwood),,
obj.materials.sculpturelimestone.desc,"A sculpture made of limestone.",,
obj.materials.sculpturehardwood.desc,"A sculpture made of hardwood.",,
obj.materials.sculpturelimestone_simple,Simple sculpture (Limestone),,
obj.materials.sculpturelimestone_plain,Plain sculpture (Limestone),,
obj.materials.sculpturelimestone_intricate,Intricate sculpture (Limestone),,
obj.materials.sculpturelimestone_masterwork,Masterwork sculpture (Limestone),,
obj.materials.sculpturehardwood_simple,Simple sculpture (Hardwood),,
obj.materials.sculpturehardwood_plain,Plain sculpture (Hardwood),,
obj.materials.sculpturehardwood_intricate,Intricate sculpture (Hardwood),,
obj.materials.sculpturehardwood_masterwork,Masterwork sculpture (Hardwood),,
obj.materials.sculpturelimestone_simple.desc,"A sculpture with a simple design, made of limestone.",,
obj.materials.sculpturelimestone_plain.desc,"A sculpture with a plain design, made of limestone.",,
obj.materials.sculpturelimestone_intricate.desc,"A sculpture with an intricate design, made of limestone.",,
obj.materials.sculpturelimestone_masterwork.desc,"A sculpture with a masterful design, made of limestone.",,
obj.materials.sculpturehardwood_simple.desc,"A sculpture with a simple design, made of hardwood.",,
obj.materials.sculpturehardwood_plain.desc,"A sculpture with a plain design, made of hardwood.",,
obj.materials.sculpturehardwood_intricate.desc,"A sculpture with an intricate design, made of hardwood.",,
obj.materials.sculpturehardwood_masterwork.desc,"A sculpture with a masterful design, made of hardwood.",,
obj.materials.hardwood,Hardwood,,
obj.materials.limestone,Limestone,,
obj.materials.hardwood.desc,"Logs of high quality hardwood. Ideal for sculpting.",,
obj.materials.limestone.desc,"Blocks of high quality limestone. Ideal for sculpting.",,
objects.devices.sculptingbench,Sculpting bench,,
objects.devices.sculptingbench.desc,"A work station for making sculptures.",,
sculpting.now,"Sculpting",,
sculpt,"Sculpt",,
skill.Artistic,Artistic,,
creator.title,Created by {0},,
research.sculpting,Sculpting,,
research.sculpting.desc,"Sculptures can be carved from different materials to brighten up any space.",,
sculptures.created_art,"Created art",,
